FID,EndStationID,BUS_DIST,METRO_DIST,RAIL_DIST,CAZ_DIST,RetailCoverS,RetailRatio,ResCoverS,ResidentRatio,ParkCoverS,ParkRatio,CommerCoverS,CommerRatio,MetroCommu,BusCommute,Deprivatio,AllusualRe,JobDensity,StudentRat,Deprivatio,NoCar,OfficeWork,MetroCommu,BusCommute,CarorVanCo,CycleCommu,RoadDen,POPDEN,counts,count_ratio
271,54,224.6844116,276.5890998,341.8501685,4240.43233,10924.40039,0.003100343,404376.6563,0.01558222,67536.30469,0.005811922,138976.0625,0.031517876,0.18712987,0.67532468,0.2955665,1617,0.907333333,0.044666667,0.02955665,0.814412636,0.238095238,0.187012987,0.067532468,0.07012987,0.161038961,0.007599891,0.028218434,9380,0.001108394
212,55,133.9198143,175.3276559,66.43382901,1629.672192,30853.5,0.008756219,3726.380615,0.000143592,93669.45313,0.008060843,2922.17749,0.00066271,0.244444444,0.69444444,0.345221,1613,0.762105263,0.109473684,0.003405221,0.834474886,0.223186609,0.244444444,0.069444444,0.044444444,0.058333333,0.034926304,0.000972568,21037,0.002485852
325,56,148.7380586,209.4890497,263.6760194,2958.942164,63321.30078,0.017970576,349525.0313,0.013468572,54294.34766,0.004672369,1157.864136,0.000262588,0.25632521,0.88235294,0.232523,1452,0.807534247,0.096575342,0.020325203,0.695238095,0.163911846,0.256302521,0.088235294,0.092436975,0.067226891,0.010614012,0.014599035,10884,0.001286116
541,57,279.2699667,281.5153128,282.9416694,1750.489249,16526.5,0.004690218,609844.9375,0.023499719,34371.94141,0.002957921,30906.85156,0.007009253,0.111111111,0.172222222,0.88285229,1529,0.861751152,0.06374808,0.088285229,0.718644068,0.235448005,0.111111111,0.172222222,0.147222222,0.069444444,0.035157171,0.020659955,13381,0.001581176
462,58,66.43949571,538.3082634,360.7359533,2529.145857,52526.30078,0.014906956,324834.2188,0.012517138,8388.963867,0.000721923,51031.76953,0.011573309,0.2453737,0.97222222,0.1171459,1877,0.855119124,0.0643915,0.01171459,0.854700855,0.230154502,0.24537037,0.097222222,0.069444444,0.155092593,0.048672985,0.005275888,11932,0.001409953
557,60,374.0330805,706.1136164,655.8214064,2464.66632,35700.80078,0.010131882,374551.5,0.01443294,18914.6543,0.001627724,1697.522827,0.000384975,0.199288256,0.15658363,0.49861496,1448,0.771036062,0.115054379,0.049861496,0.707015131,0.194060773,0.199288256,0.15658363,0.217081851,0.053380783,0.030053455,0.019230807,4087,0.000482943
310,61,76.26857967,511.2858715,513.5135252,3238.452102,4243.589844,0.00120433,426368.3125,0.016429645,33633.07031,0.002894336,1418.313721,0.000321654,0.19812721,0.144876325,0.128981,1659,0.822206096,0.089985486,0.01208981,0.679862306,0.17058469,0.190812721,0.144876325,0.081272085,0.137809187,0.011392784,0.017214783,11225,0.00132641
610,62,35.34813014,581.5052391,276.6552171,3178.884684,23860.59961,0.006771635,476007.5,0.018342438,36462.54297,0.00313783,4668.100098,0.001058661,0.27423581,0.26419214,0.72135785,1565,0.915535445,0.042232278,0.072135785,0.725105189,0.292651757,0.207423581,0.26419214,0.141921397,0.1069869,0.005099028,0.020312936,6494,0.000767368
589,63,161.2114375,558.8332658,604.4529345,3119.103291,24109.90039,0.006842386,458362.375,0.017662502,14624.1543,0.0012585,8067.613281,0.001829625,,,,,,,,,,,,,,0.002309387,,7973,0.000942135
105,64,107.9936683,71.09310992,201.7926373,1935.388439,6733.080078,0.001910847,399837.5625,0.015407311,16551.41406,0.001424353,25638.47656,0.005814457,0.2295694,0.9886124,0.3486558,1685,0.733113674,0.118616145,0.034860558,0.828514457,0.248071217,0.220095694,0.098086124,0.086124402,0.064593301,0.007593471,0.005260567,21039,0.002486089
785,65,58.6207482,21.53407335,57.52344636,622.5779814,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.006016459,,1022,0.000120765
26,66,17.78745941,170.8735916,257.5716031,3208.412602,62564.80078,0.017755881,145421.2031,0.00560365,4488.780762,0.000386288,27239.55664,0.00617756,0.147757256,0.1825847,0.1,1646,0.796383121,0.078365707,0.1,0.786381842,0.230255164,0.147757256,0.182058047,0.155672823,0.079155673,0.017704111,0.022008642,25368,0.002997628
211,67,124.417167,221.2516929,268.1731398,635.8063982,11872.40039,0.003369385,224701.4219,0.008658628,25013.0332,0.002152528,31420.61914,0.007125768,0.156321839,0.15422989,0.471597,1857,0.8762409,0.069490404,0.0471597,0.801916933,0.234248788,0.156321839,0.154022989,0.082758621,0.117241379,0.016612401,0.012573764,10307,0.001217934
34,68,133.3657005,403.7568114,408.5451754,960.2687496,19642.90039,0.005574652,447857.7188,0.017257716,280682.375,0.024154476,53845.82813,0.0122115,0.187279152,0.15547732,0.3674547,1412,0.855994152,0.076754386,0.036745407,0.808093995,0.200424929,0.187279152,0.155477032,0.06360424,0.084805654,0.023834399,0.00314983,11342,0.001340236
448,69,67.98821634,105.7687184,101.2171288,3786.062936,22332.09961,0.006337847,366336.4375,0.014116381,29226.57422,0.00251513,17759.77539,0.004027675,,,,,,,,,,,,,,0.019292474,,9213,0.001088661
2,70,99.81470685,241.8691052,428.71062,3820.931874,18806.80078,0.005337367,6003.376465,0.000231334,27945.21484,0.002404861,2563.31543,0.000581325,0.2524598,0.1741968,0.49792531,2020,0.84989719,0.071967101,0.049792531,0.764337852,0.201980198,0.25245098,0.174019608,0.107843137,0.095588235,0.032858192,0.013376221,4078,0.00048188
362,71,22.45783764,101.3136191,8.259565862,3580.501168,143664,0.040771822,186910.875,0.00720241,207636.9063,0.017868456,14243.74414,0.003230287,0.244444444,0.69444444,0.345221,1613,0.762105263,0.109473684,0.003405221,0.834474886,0.223186609,0.244444444,0.069444444,0.044444444,0.058333333,0.040182942,0.000972568,21596,0.002551907
722,72,80.59009192,343.7984873,443.2465797,2982.06099,41261.30078,0.011709951,153851.75,0.005928512,58490.26172,0.005033453,0,0,0.166666667,0.1143588,0.34267913,1924,0.880586081,0.059340659,0.034267913,0.748447205,0.177754678,0.166666667,0.114035088,0.076023392,0.108187135,0.019642532,0.007355581,8543,0.00100949
319,73,14.05430612,133.3190864,143.2481699,4171.370197,3318.01001,0.000941651,9943.567383,0.000383165,36420.76953,0.003134235,43912.51953,0.009958761,0.191956124,0.164533821,0.42895442,2355,0.724626279,0.174665618,0.042895442,0.805031447,0.232271762,0.191956124,0.164533821,0.115173675,0.071297989,0.0153669,0.007071549,19422,0.002295015
189,74,19.73152913,37.1923382,28.97170396,3913.424098,1433.469971,0.000406819,266229.1563,0.010258854,13315.98145,0.001145924,13989.5293,0.003172634,0.266666667,0.125925926,0.3398323,1703,0.894901961,0.077647059,0.030398323,0.762854145,0.237815619,0.266666667,0.125925926,0.148148148,0.101234568,0.005626682,0.032041687,24364,0.00287899
144,75,80.51593912,74.1020032,50.04631782,801.9196241,36235.5,0.010283629,137454.4688,0.00529666,33064.8125,0.002845434,13202.90039,0.002994238,,,,,,,,,,,,,,0.010646053,,6955,0.000821843
497,76,27.85062086,192.0161115,199.7908377,4728.786503,76823.10156,0.021802385,213702.25,0.008234787,68203.36719,0.005869327,11433.50488,0.002592963,0.125326371,0.18537859,0.3663221,1544,0.731188972,0.128661689,0.036603221,0.637426901,0.248056995,0.125326371,0.18537859,0.117493473,0.091383812,0.03688624,0.003197859,4481,0.000529501
360,77,36.38361504,29.23026294,41.65362337,2863.107006,5711.359863,0.001620883,480443.5,0.018513374,7531.538574,0.000648136,42046.99609,0.009535685,0.226973684,0.138157895,0.136467,1405,0.620253165,0.298372514,0.103064067,0.838664812,0.216370107,0.226973684,0.138157895,0.088815789,0.082236842,0.045321947,0.024037307,13128,0.00155128
